日期,交运设备,燃气,汽车零部件,航运港口,房地产服务,仪器仪表,采掘行业,游戏,汽车服务,电网设备,中药,风电设备,珠宝首饰,酿酒行业,纺织服装,包装材料,保险,环保行业,证券,计算机设备,公用事业,铁路公路,生物制品,航空机场,非金属材料,造纸印刷,互联网服务,塑料制品,光学光电子,钢铁行业,橡胶制品,多元金融,航天航空,光伏设备,煤炭行业,石油行业,工程咨询服务,化学制药,工程建设,农牧饲渔,消费电子,工程机械,医疗服务,化学原料,通信设备,文化传媒,房地产开发,汽车整车,医药商业,水泥建材,装修建材,通用设备,贵金属,化纤行业,玻璃玻纤,电子化学品,教育,贸易行业,有色金属,半导体,装修装饰,食品饮料,旅游酒店,小金属,电机,家用轻工,银行,电子元件,专业服务,电源设备,美容护理,专用设备,医疗器械,物流行业,船舶制造,化肥行业,农药兽药,软件开发,通信服务,电力行业,电池,商业百货,家电行业,综合行业,化学制品,能源金属
2010-01-04,3272.14,,8748.04,6613.84,,3470.89,,,,12644.23,,,,13590.97,6407.06,,932.99,,105002.07,,4203.15,3504.27,,3597.47,,3405.54,5449.42,5165.03,,6076.78,,,11572.78,,8880.4,9096.24,,8373.98,8476.49,5804.08,,,,,6269.78,6044.46,9866.87,,,10340.73,6164.8,12202.41,,5543.86,12212.73,,,5323.52,12377.57,,,8769.0,6909.1,,,10175.17,2051.95,4783.72,,,,,,3701.74,,,,,,7238.12,,11593.36,4195.37,4514.35,7180.01,
2010-01-05,3315.17,,8684.06,6676.31,,3532.78,,,,12718.78,,,,13676.64,6459.08,,945.87,,109642.23,,4215.65,3552.09,,3689.18,,3426.27,5596.71,5186.89,,6051.14,,,11796.64,,9203.1,9155.55,,8430.57,8474.03,5877.19,,,,,6429.77,6179.82,9687.88,,,10391.46,6207.3,12246.58,,5596.72,12264.28,,,5395.45,12747.66,,,8822.49,6900.61,,,10231.04,2072.73,4892.43,,,,,,3702.55,,,,,,7278.39,,11616.7,4185.13,4544.74,7250.16,
2010-01-06,3294.68,,8557.25,6659.84,,3551.41,,,,12681.18,,,,13487.85,6444.51,,920.52,,108692.88,,4219.31,3540.72,,3646.41,,3435.34,5554.44,5186.57,,6110.27,,,11965.9,,9220.54,8980.41,,8435.55,8501.1,5785.91,,,,,6332.12,6149.9,9700.91,,,10357.54,6166.65,12288.3,,5618.79,12261.66,,,5365.39,12769.31,,,8834.08,6873.0,,,10211.0,2046.3,4889.02,,,,,,3691.18,,,,,,7268.17,,11543.34,4106.31,4525.46,7233.97,
2010-01-07,3251.44,,8287.0,6511.72,,3529.43,,,,12616.04,,,,13184.84,6298.29,,903.46,,106399.31,,4122.24,3504.73,,3606.64,,3390.21,5440.7,5056.5,,5940.52,,,11713.88,,9039.13,8766.61,,8214.61,8377.97,5661.37,,,,,6138.21,6065.56,9643.66,,,10083.69,6027.41,12003.22,,5587.18,11914.31,,,5253.12,12636.81,,,8555.37,6891.12,,,9981.05,2001.6,4790.76,,,,,,3623.6,,,,,,7128.7,,11274.56,3988.15,4434.83,7074.31,
2010-01-08,3277.32,,8257.79,6555.86,,3535.19,,,,12669.73,,,,13301.68,6344.01,,901.79,,108504.03,,4147.87,3540.1,,3630.01,,3419.06,5565.78,5078.21,,5959.97,,,11785.87,,8936.61,8690.43,,8262.55,8446.94,5724.41,,,,,6226.13,6255.98,9785.95,,,10172.76,6083.42,12030.52,,5658.76,11941.73,,,5269.86,12489.86,,,8606.44,7031.08,,,10163.42,2010.79,4914.48,,,,,,3647.97,,,,,,7188.88,,11435.68,4056.13,4502.17,7115.91,
2010-01-11,3294.45,,8157.86,6628.04,,3617.27,,,,12689.21,,,,13258.33,6453.1,,896.89,,110795.51,,4149.89,3571.79,,3634.5,,3416.24,5764.52,5142.69,,5938.46,,,12056.19,,8862.4,8665.37,,8246.72,8478.92,5712.89,,,,,6298.68,6482.39,9618.81,,,10150.73,6127.45,12028.66,,5700.15,11862.84,,,5302.11,12600.76,,,8626.49,7079.29,,,10394.84,2027.12,5023.05,,,,,,3660.85,,,,,,7216.36,,11454.07,4002.3,4538.97,7149.14,
2010-01-12,3367.3,,8382.18,6933.3,,3687.52,,,,12842.85,,,,13542.8,6593.39,,909.7,,111377.75,,4233.69,3628.25,,3764.77,,3492.32,5816.83,5289.62,,5978.96,,,12204.69,,8945.26,8858.79,,8475.09,8585.97,5886.76,,,,,6579.26,6544.52,9751.06,,,10353.26,6404.28,12322.72,,5880.48,12193.49,,,5404.85,12744.38,,,8802.28,7162.27,,,10539.01,2043.13,5053.4,,,,,,3763.93,,,,,,7328.54,,11676.78,4094.17,4614.28,7341.12,
2010-01-13,3312.08,,8237.67,6796.24,,3661.66,,,,12585.59,,,,13496.09,6545.84,,869.16,,105883.45,,4165.72,3606.76,,3720.46,,3454.76,5897.13,5216.51,,5800.09,,,12180.22,,8475.74,8574.69,,8495.15,8402.95,5799.06,,,,,6650.45,6716.65,9447.28,,,10094.9,6357.77,12134.28,,5985.99,12023.52,,,5327.35,12135.33,,,8734.68,7162.16,,,10540.03,1952.32,5013.64,,,,,,3711.3,,,,,,7229.61,,11495.74,4066.36,4543.78,7314.64,
2010-01-14,3385.56,,8413.18,6952.53,,3790.14,,,,12982.68,,,,14009.28,6691.08,,882.88,,107385.63,,4238.51,3660.23,,3911.0,,3530.09,6067.64,5358.19,,5867.76,,,12437.94,,8594.58,8633.14,,8733.19,8496.24,5932.06,,,,,6776.93,6979.28,9546.43,,,10222.07,6527.68,12424.25,,6046.23,12312.24,,,5453.4,12238.86,,,8928.34,7277.5,,,10778.33,1957.54,5179.28,,,,,,3774.88,,,,,,7338.42,,11823.56,4259.85,4658.28,7470.77,
2010-01-15,3386.41,,8528.93,6943.03,,3816.92,,,,13162.2,,,,14007.88,6744.8,,889.75,,106886.99,,4264.85,3682.09,,3887.93,,3576.56,6083.31,5414.13,,5859.81,,,12419.74,,8569.98,8695.82,,8766.04,8521.58,5962.88,,,,,6743.66,6878.92,9739.1,,,10359.95,6586.92,12631.48,,6022.21,12534.36,,,5454.98,12278.27,,,9007.72,7341.8,,,10939.57,1958.83,5153.62,,,,,,3798.58,,,,,,7341.66,,11902.79,4262.09,4701.8,7528.32,
