日期,中证500,上证指数,沪深300
2012-08-31,3139.5,2047.52,2204.87
2012-09-03,3200.31,2059.15,2228.37
2012-09-04,3164.83,2043.65,2204.41
2012-09-05,3181.8,2037.68,2199.88
2012-09-06,3217.94,2051.92,2217.82
2012-09-07,3334.66,2127.76,2317.18
2012-09-10,3363.61,2134.89,2326.67
2012-09-11,3350.09,2120.55,2311.89
2012-09-12,3376.12,2126.55,2320.07
2012-09-13,3329.3,2110.38,2298.46
2012-09-14,3338.04,2123.85,2315.54
2012-09-17,3237.7,2078.5,2258.71
2012-09-18,3224.26,2059.54,2235.24
2012-09-19,3255.87,2067.83,2246.24
2012-09-20,3161.76,2024.84,2195.95
2012-09-21,3143.71,2026.69,2199.06
2012-09-24,3167.16,2033.19,2215.52
2012-09-25,3144.41,2029.29,2210.15
2012-09-26,3071.99,2004.17,2184.89
2012-09-27,3141.08,2056.32,2251.72
2012-09-28,3199.75,2086.17,2293.11
2012-10-08,3183.37,2074.42,2270.05
2012-10-09,3265.62,2115.23,2320.16
2012-10-10,3296.92,2119.94,2324.12
2012-10-11,3248.05,2102.87,2302.53
2012-10-12,3240.4,2104.93,2304.53
2012-10-15,3223.19,2098.7,2294.86
2012-10-16,3233.23,2098.81,2298.16
2012-10-17,3240.78,2105.62,2300.8
2012-10-18,3294.84,2131.69,2336.08
2012-10-19,3285.45,2128.3,2332.47
2012-10-22,3298.49,2132.76,2341.59
2012-10-23,3259.07,2114.45,2312.08
2012-10-24,3257.92,2115.99,2307.78
2012-10-25,3226.17,2101.58,2291.24
2012-10-26,3163.3,2066.21,2247.91
2012-10-29,3158.94,2058.94,2235.85
2012-10-30,3160.69,2062.35,2239.88
2012-10-31,3168.1,2068.88,2254.82
2012-11-01,3228.19,2104.43,2297.88
2012-11-02,3249.55,2117.05,2306.77
2012-11-05,3235.35,2114.03,2301.88
2012-11-06,3213.26,2106.0,2292.21
2012-11-07,3209.14,2105.73,2287.51
2012-11-08,3129.57,2071.51,2245.41
2012-11-09,3116.98,2069.07,2240.92
2012-11-12,3136.31,2079.27,2251.85
2012-11-13,3072.12,2047.89,2212.44
2012-11-14,3081.25,2055.42,2223.11
2012-11-15,3026.84,2030.29,2193.62
2012-11-16,3009.15,2014.73,2177.24
2012-11-19,3016.16,2016.98,2174.99
2012-11-20,3004.18,2008.92,2164.88
2012-11-21,3035.28,2030.32,2194.9
2012-11-22,2995.09,2015.61,2177.55
2012-11-23,3005.46,2027.38,2192.68
2012-11-26,2970.32,2017.46,2175.6
2012-11-27,2864.17,1991.17,2150.64
2012-11-28,2800.54,1973.52,2129.16
2012-11-29,2774.18,1963.49,2115.68
2012-11-30,2816.62,1980.12,2139.66
2012-12-03,2749.13,1959.77,2108.85
2012-12-04,2783.41,1975.14,2131.47
2012-12-05,2886.19,2031.91,2207.88
2012-12-06,2884.35,2029.24,2203.6
2012-12-07,2950.19,2061.79,2246.76
2012-12-10,3002.23,2083.77,2271.05
2012-12-11,2982.03,2074.7,2258.5
2012-12-12,2982.89,2082.73,2267.77
2012-12-13,2943.28,2061.48,2242.64
2012-12-14,3066.23,2150.63,2355.87
2012-12-17,3091.88,2160.34,2366.7
2012-12-18,3086.58,2162.46,2368.12
2012-12-19,3099.09,2162.24,2371.11
2012-12-20,3108.86,2168.35,2384.82
2012-12-21,3101.07,2153.31,2372.0
2012-12-24,3117.7,2159.05,2381.22
2012-12-25,3189.09,2213.61,2448.4
2012-12-26,3228.68,2219.13,2457.62
2012-12-27,3199.48,2205.9,2444.59
2012-12-28,3235.2,2233.25,2480.05
2012-12-31,3275.86,2269.13,2522.95
2013-01-04,3258.25,2276.99,2524.41
2013-01-07,3288.37,2285.36,2535.99
2013-01-08,3327.04,2276.07,2525.33
2013-01-09,3334.99,2275.34,2526.13
2013-01-10,3356.35,2283.66,2530.57
2013-01-11,3271.18,2243.0,2483.23
2013-01-14,3384.75,2311.74,2577.73
2013-01-15,3450.68,2325.68,2595.86
2013-01-16,3450.56,2309.5,2577.09
2013-01-17,3408.02,2284.91,2552.76
2013-01-18,3464.65,2317.07,2595.44
2013-01-21,3491.12,2328.22,2610.9
2013-01-22,3435.43,2315.14,2596.9
2013-01-23,3441.75,2320.91,2607.46
2013-01-24,3369.73,2302.6,2582.76
2013-01-25,3364.06,2291.3,2571.67
2013-01-28,3449.79,2346.51,2651.86
2013-01-29,3482.52,2358.98,2675.87
2013-01-30,3500.58,2382.48,2688.71
2013-01-31,3479.64,2385.42,2686.88
2013-02-01,3507.71,2419.02,2743.32
2013-02-04,3484.36,2428.15,2748.03
2013-02-05,3520.65,2433.13,2771.68
2013-02-06,3544.39,2434.48,2775.84
2013-02-07,3557.67,2418.53,2759.87
2013-02-08,3608.59,2432.4,2771.73
2013-02-18,3627.78,2421.56,2737.47
2013-02-19,3561.36,2382.91,2685.61
2013-02-20,3635.38,2397.18,2702.64
2013-02-21,3560.32,2325.95,2610.55
2013-02-22,3548.36,2314.16,2596.6
2013-02-25,3587.59,2325.82,2604.96
2013-02-26,3533.2,2293.34,2567.6
2013-02-27,3535.9,2313.22,2594.68
2013-02-28,3608.2,2365.59,2673.33
2013-03-01,3648.42,2359.51,2668.84
2013-03-04,3518.72,2273.4,2545.72
2013-03-05,3597.92,2326.31,2622.81
2013-03-06,3653.93,2347.18,2650.2
2013-03-07,3609.64,2324.29,2619.48
2013-03-08,3570.38,2318.61,2606.93
2013-03-11,3571.11,2310.59,2592.37
2013-03-12,3481.18,2286.61,2555.62
2013-03-13,3449.35,2263.97,2527.49
2013-03-14,3464.85,2270.28,2534.27
2013-03-15,3471.21,2278.4,2539.87
2013-03-18,3427.12,2240.02,2502.49
2013-03-19,3438.07,2257.43,2525.1
2013-03-20,3527.77,2317.37,2610.17
2013-03-21,3565.02,2324.24,2614.99
2013-03-22,3579.92,2328.28,2618.31
2013-03-25,3568.52,2326.72,2613.1
2013-03-26,3543.81,2297.67,2575.05
2013-03-27,3552.26,2301.26,2583.53
2013-03-28,3448.98,2236.3,2499.3
2013-03-29,3447.29,2236.62,2495.08
2013-04-01,3470.96,2234.4,2493.19
2013-04-02,3428.5,2227.74,2486.39
2013-04-03,3397.23,2225.3,2483.55
2013-04-08,3411.13,2211.59,2472.3
2013-04-09,3444.37,2225.78,2489.43
2013-04-10,3437.27,2226.13,2485.31
2013-04-11,3423.22,2219.55,2477.88
2013-04-12,3394.52,2206.78,2462.11
2013-04-15,3346.85,2181.94,2436.82
2013-04-16,3383.08,2194.85,2459.59
2013-04-17,3412.42,2193.8,2458.47
2013-04-18,3423.01,2197.6,2464.85
2013-04-19,3495.24,2244.64,2533.83
2013-04-22,3511.62,2242.17,2530.67
2013-04-23,3416.45,2184.54,2449.47
2013-04-24,3484.57,2218.32,2495.58
2013-04-25,3431.4,2199.31,2467.88
2013-04-26,3367.77,2177.91,2447.31
2013-05-02,3383.4,2174.12,2449.64
2013-05-03,3448.64,2205.5,2492.91
2013-05-06,3514.46,2231.17,2525.98
2013-05-07,3521.48,2235.58,2529.94
2013-05-08,3553.85,2246.3,2542.8
2013-05-09,3555.77,2232.97,2527.79
2013-05-10,3577.33,2246.83,2540.84
2013-05-13,3590.76,2241.92,2530.77
2013-05-14,3549.3,2217.01,2493.34
2013-05-15,3597.11,2224.8,2506.93
2013-05-16,3635.76,2251.81,2552.71
2013-05-17,3691.4,2282.87,2592.05
2013-05-20,3737.75,2299.99,2609.61
2013-05-21,3787.06,2305.11,2614.85
2013-05-22,3755.87,2302.4,2618.03
2013-05-23,3724.23,2275.67,2582.85
2013-05-24,3782.07,2288.53,2597.23
2013-05-27,3820.43,2293.08,2599.59
2013-05-28,3827.78,2321.32,2644.36
2013-05-29,3856.32,2324.02,2642.56
2013-05-30,3865.13,2317.75,2634.32
2013-05-31,3841.22,2300.6,2606.43
2013-06-03,3814.51,2299.25,2602.62
2013-06-04,3739.72,2272.42,2565.67
2013-06-05,3755.15,2270.93,2560.54
2013-06-06,3688.74,2242.11,2527.85
2013-06-07,3616.21,2210.9,2484.16
2013-06-13,3515.05,2148.36,2399.94
2013-06-14,3584.98,2162.04,2416.77
2013-06-17,3593.37,2156.22,2403.84
